'CFOO1',2017-10-04-00:00:00'
736972,0.930218535
736973,0.362214423
736974,0.269414829
736975,-0.580204989
736976,-0.744624228
736977,-0.211967264
736978,0.852529354
736979,-0.668138897
736980,0.153558446
736981,-0.411639657
736982,-0.8442119
736983,-0.94616114
736984,0.012402004
736985,0.450898317
736986,-1.514789909
736987,-0.743927104
736988,0.628383382
736989,-0.689410145
736990,0.483143481
736991,0.827031969
736992,-1.03661053
736993,0.661343892
736994,-0.124331984
736995,0.353036981
736996,-1.087795092
736997,0.31225127
736998,-0.515173382
736999,0.270848998
737000,-0.779600877
737001,-1.462653211
737002,-0.257271912
737003,-0.794046273
737004,0.342746936
737005,-0.467876919
737006,0.875591988
737007,0.212951788
737008,-0.456851753
737009,0.156249118
737010,0.290184679
737011,0.736855013
737012,0.012202247
737013,-3.021867194
737014,0.78023636
737015,0.796112664
737016,0.243024303
737017,-0.597302702
737018,-0.307599439
737019,-0.396207588
737020,0.446824415
737021,-0.312912791
737022,-0.861677688
737023,-0.190795567
737024,-0.751155968
737025,-0.26663874
737026,-1.531432003
737027,0.150852862
737028,-0.709285102
737029,1.856206918
737030,1.191878002
737031,0.56289089
737032,-0.814948652
737033,-0.315445879
737034,-0.522581171
737035,1.012225081
737036,1.438273263
737037,0.67012277
737038,0.867918078
737039,1.771638162
737040,0.250032926
737041,-1.033754872
737042,-0.345703321
737043,0.16003489
737044,-1.905735392
737045,-0.175196445
737046,0.582203386
737047,-0.013220476
737048,-0.235142727
737049,-0.301734487
737050,1.170117627
737051,0.521958993
737052,-0.17714938
737053,-0.829500998
737054,2.614617082
737055,-0.917407427
737056,0.558284837
737057,0.247049652
737058,-0.283148962
737059,0.493624185
737060,-1.535669419
737061,-0.122448668
737062,-0.401641863
737063,0.315295818
737064,1.155438775
737065,1.013626347
737066,-0.61005994
737067,1.052471487
737068,-1.444124931
737069,-0.401389217
737070,0.310889187
737071,-1.64018047
737072,-1.964699159
