TEMP, '2013-08-01-00:00:00' 
735447.000000,25.860533
735447.041667,25.893935
735447.083333,26.114692
735447.125000,25.767492
735447.166667,26.662203
735447.208333,26.705419
735447.250000,26.678208
735447.291667,26.969396
735447.333333,26.907619
735447.375000,26.301532
735447.416667,25.979175
735447.458333,25.237443
735447.500000,24.443811
735447.541667,24.333889
735447.583333,24.020550
735447.625000,23.440234
735447.666667,23.846098
735447.708333,24.202786
735447.750000,24.120175
735447.791667,23.852255
735447.833333,24.335483
735447.875000,24.574021
735447.916667,23.832614
735447.958333,23.917478
735448.000000,24.713493
735448.041667,25.208759
735448.083333,25.574956
735448.125000,25.710588
735448.166667,25.010461
735448.208333,24.491060
735448.250000,24.951960
735448.291667,24.562772
735448.333333,24.298584
735448.375000,23.796505
735448.416667,24.448910
735448.458333,23.907763
735448.500000,23.663019
735448.541667,24.067001
735448.583333,23.715121
735448.625000,23.542825
735448.666667,23.388117
735448.708333,23.541443
735448.750000,23.996936
735448.791667,24.685547
735448.833333,25.059367
735448.875000,24.826522
735448.916667,24.958907
735448.958333,25.281219
735449.000000,25.838014
735449.041667,26.261766
735449.083333,26.740113
735449.125000,26.738240
735449.166667,26.920703
735449.208333,26.250163
735449.250000,26.053802
735449.291667,26.192996
735449.333333,25.913551
735449.375000,25.603240
735449.416667,25.874419
735449.458333,25.701804
735449.500000,25.648127
735449.541667,25.743003
735449.583333,25.854399
735449.625000,25.587213
735449.666667,25.671628
735449.708333,25.831807
735449.750000,25.560356
735449.791667,25.719176
735449.833333,25.929674
735449.875000,26.075254
735449.916667,25.573195
735449.958333,25.598403
735450.000000,26.412957
735450.041667,27.437206
735450.083333,27.308747
735450.125000,27.695515
735450.166667,27.867726
735450.208333,27.735582
735450.250000,27.096892
735450.291667,26.414604
735450.333333,26.832670
735450.375000,27.036859
735450.416667,26.956191
735450.458333,26.347026
735450.500000,26.533162
735450.541667,26.544573
735450.583333,27.255839
735450.625000,27.288476
735450.666667,27.130572
735450.708333,26.973152
735450.750000,26.866270
735450.791667,27.043167
735450.833333,26.782561
735450.875000,27.375661
735450.916667,27.537502
735450.958333,27.171825
735451.000000,26.968085
735451.041667,26.170930
735451.083333,25.787787
735451.125000,25.896936
735451.166667,25.433848
735451.208333,25.035009
735451.250000,24.587566
735451.291667,24.434477
735451.333333,24.655212
735451.375000,25.163976
735451.416667,24.766571
735451.458333,24.742998
735451.500000,24.531367
735451.541667,24.165254
735451.583333,23.724881
735451.625000,23.668987
735451.666667,23.832718
735451.708333,24.013642
735451.750000,25.208164
735451.791667,24.930785
735451.833333,25.488236
735451.875000,25.750657
735451.916667,26.508640
735451.958333,26.391631
735452.000000,27.366571
735452.041667,26.830888
735452.083333,26.086884
735452.125000,25.945068
735452.166667,26.041633
735452.208333,25.667476
735452.250000,24.490724
735452.291667,24.593940
735452.333333,24.153048
735452.375000,23.290258
735452.416667,23.030003
735452.458333,23.051360
735452.500000,22.681155
735452.541667,22.425701
735452.583333,21.670274
735452.625000,22.004880
735452.666667,21.882483
735452.708333,22.397446
735452.750000,22.337228
735452.791667,22.904506
735452.833333,22.780754
735452.875000,22.721870
735452.916667,22.675115
735452.958333,23.078791
