TEMP01, '2000-01-01-00:00:00' 
730486.000000,14.982670
730486.330000,14.996295
730486.660000,14.987749
730486.990000,15.001598
730487.320000,14.990191
730487.650000,14.956576
730487.980000,14.960774
730488.310000,14.955920
730488.640000,14.961871
730488.970000,14.952000
730489.300000,14.934749
730489.630000,14.938956
730489.960000,14.941577
730490.290000,14.915924
730490.620000,14.912774
730490.950000,14.898640
730491.280000,14.912796
730491.610000,14.889677
730491.940000,14.875342
730492.270000,14.870050
730492.600000,14.867232
730492.930000,14.854169
730493.260000,14.853745
730493.590000,14.855529
730493.920000,14.835483
730494.250000,14.817061
730494.580000,14.794802
730494.910000,14.775116
730495.240000,14.785662
730495.570000,14.788789
730495.900000,14.771140
730496.230000,14.747079
730496.560000,14.747562
730496.890000,14.756011
730497.220000,14.722891
730497.550000,14.719155
730497.880000,14.702697
730498.210000,14.718741
730498.540000,14.663852
730498.870000,14.678368
730499.200000,14.654095
730499.530000,14.654022
730499.860000,14.629691
730500.190000,14.622387
730500.520000,14.610022
730500.850000,14.612965
730501.180000,14.603712
730501.510000,14.587893
730501.840000,14.577855
730502.170000,14.560604
730502.500000,14.532944
730502.830000,14.538422
730503.160000,14.522119
730503.490000,14.514114
730503.820000,14.509163
730504.150000,14.443411
730504.480000,14.472028
730504.810000,14.475792
730505.140000,14.433025
730505.470000,14.421094
730505.800000,14.386164
730506.130000,14.378197
730506.460000,14.372468
730506.790000,14.355478
730507.120000,14.331789
730507.450000,14.322763
730507.780000,14.297770
730508.110000,14.292009
730508.440000,14.261216
730508.770000,14.243582
730509.100000,14.229510
730509.430000,14.213629
730509.760000,14.193033
730510.090000,14.170731
730510.420000,14.148475
730510.750000,14.147337
730511.080000,14.113720
730511.410000,14.090021
730511.740000,14.093314
730512.070000,14.062949
730512.400000,14.013193
730512.730000,14.007415
730513.060000,13.982568
730513.390000,13.956276
730513.720000,13.943708
730514.050000,13.927180
730514.380000,13.895297
730514.710000,13.860907
730515.040000,13.861111
730515.370000,13.829663
730515.700000,13.831086
730516.030000,13.806903
730516.360000,13.784449
730516.690000,13.754314
730517.020000,13.733790
730517.350000,13.710644
730517.680000,13.690868
730518.010000,13.655457
730518.340000,13.631753
730518.670000,13.607131
730519.000000,13.592141
730519.330000,13.581279
730519.660000,13.547783
730519.990000,13.513342
730520.320000,13.480524
730520.650000,13.442942
730520.980000,13.427300
730521.310000,13.393443
730521.640000,13.383025
