'LTU036THAPRG900',2010-07-15-23:00:00'
734334.9583,20.68
734335,20.8
734335.0417,NaN
734335.0833,NaN
734335.125,NaN
734335.1667,NaN
734335.2083,NaN
734335.25,NaN
734335.2917,NaN
734335.3333,NaN
734335.375,20.62
734335.4167,20.78
734335.4583,20.82
734335.5,20.84
734335.5417,20.89
734335.5833,20.8
734335.625,20.84
734335.6667,21.04
734335.7083,20.98
734335.75,21.17
734335.7917,20.9
734335.8333,21.06
734335.875,20.9
734335.9167,21.04
734335.9583,21.08
734336,21.17
734336.0417,21.19
734336.0833,21.14
734336.125,21.25
734336.1667,21.23
734336.2083,21.2
734336.25,21.2
734336.2917,21.24
734336.3333,21.27
734336.375,21.39
734336.4167,21.24
734336.4583,21.56
734336.5,21.57
734336.5417,21.21
734336.5833,21.31
734336.625,21.35
734336.6667,21.37
734336.7083,21.37
734336.75,21.31
734336.7917,21.31
734336.8333,21.23
734336.875,21.29
734336.9167,21.29
734336.9583,21.33
734337,21.36
734337.0417,21.4
734337.0833,21.39
734337.125,21.51
734337.1667,21.47
734337.2083,21.57
734337.25,21.49
734337.2917,21.44
734337.3333,21.47
734337.375,21.51
734337.4167,21.53
734337.4583,21.44
734337.5,21.51
734337.5417,21.65
734337.5833,21.6
734337.625,21.64
734337.6667,21.55
734337.7083,21.52
734337.75,21.47
734337.7917,21.41
734337.8333,21.41
734337.875,21.39
734337.9167,21.33
734337.9583,21.25
734338,21.19
734338.0417,21.19
734338.0833,21.17
734338.125,21.12
734338.1667,21.1
734338.2083,21.1
734338.25,21.09
734338.2917,21.12
734338.3333,21.12
734338.375,21.17
734338.4167,21.22
734338.4583,21.28
734338.5,21.21
734338.5417,21.2
734338.5833,21.43
734338.625,21.33
734338.6667,21.23
734338.7083,21.41
734338.75,21.35
734338.7917,21.59
734338.8333,21.65
734338.875,21.14
734338.9167,21.52
734338.9583,20.94
734339,21.1
734339.0417,21.25
734339.0833,21.21
734339.125,21.21
734339.1667,21.17
734339.2083,21.17
734339.25,21.13
734339.2917,21.11
734339.3333,21.13
734339.375,21.14
734339.4167,21.16
734339.4583,21.31
734339.5,21.38
734339.5417,21.39
734339.5833,21.45
734339.625,21.79
734339.6667,22.14
734339.7083,21.84
734339.75,22.39
734339.7917,21.32
734339.8333,22.19
734339.875,21.12
734339.9167,22.12
734339.9583,22.16
734340,21.14
734340.0417,NaN
734340.0833,NaN
734340.125,NaN
734340.1667,NaN
734340.2083,NaN
734340.25,NaN
734340.2917,NaN
734340.3333,NaN
734340.375,NaN
734340.4167,NaN
734340.4583,NaN
734340.5,21.43
734340.5417,NaN
734340.5833,NaN
734340.625,NaN
734340.6667,NaN
734340.7083,NaN
734340.75,NaN
734340.7917,NaN
734340.8333,NaN
734340.875,NaN
734340.9167,NaN
734340.9583,NaN
734341,21.03
734341.0417,NaN
734341.0833,NaN
734341.125,NaN
734341.1667,NaN
734341.2083,NaN
734341.25,NaN
734341.2917,NaN
734341.3333,NaN
734341.375,NaN
734341.4167,NaN
734341.4583,NaN
734341.5,21.38
734341.5417,NaN
734341.5833,NaN
734341.625,NaN
734341.6667,NaN
734341.7083,NaN
734341.75,NaN
734341.7917,NaN
734341.8333,NaN
734341.875,NaN
734341.9167,NaN
734341.9583,NaN
734342,21.71
734342.0417,NaN
734342.0833,NaN
734342.125,NaN
734342.1667,NaN
734342.2083,NaN
734342.25,NaN
734342.2917,NaN
734342.3333,NaN
734342.375,NaN
734342.4167,NaN
734342.4583,NaN
734342.5,21.66
734342.5417,NaN
734342.5833,NaN
734342.625,NaN
734342.6667,NaN
734342.7083,NaN
734342.75,NaN
734342.7917,NaN
734342.8333,NaN
734342.875,NaN
734342.9167,NaN
734342.9583,NaN
734343,21.6
734343.0417,NaN
734343.0833,NaN
734343.125,NaN
